Column1,Column2
"مين الكاتب تبع "" الصناعات المنزلية""؟",SELECT Author FROM books WHERE Title = 'الصناعات المنزلية';
ما الكتب التي كتبها خالد الغامدي وما هي أسعارها؟,"SELECT Title, Price FROM books WHERE Author = 'خالد الغامدي';"
"مين اللي كاتب كتاب ""الوعي والمأزق : تجليات الفكر في مشكلات العرب""؟",SELECT Author FROM books WHERE Title = 'الوعي والمأزق : تجليات الفكر في مشكلات العرب';
"بتعرف عدد صفحات كتاب "" زواج عذري""؟",SELECT Pages FROM books WHERE Title = 'زواج عذري';
"مين الكاتب تبع "" زاد المعاد في هدي خير العباد""؟",SELECT Author FROM books WHERE Title = 'زاد المعاد في هدي خير العباد';
اعطيني كتاب عدد صفحاته من 1991 لـ 2003,SELECT * FROM books WHERE Pages BETWEEN 1991 AND 2003
"بتعرف عدد صفحات كتاب ""نقد ملكة الحكم""؟",SELECT Pages FROM books WHERE Title = 'نقد ملكة الحكم';
"مين اللي كاتب كتاب "" رسالة في تعليم النساء الكتابة""؟",SELECT Author FROM books WHERE Title = 'رسالة في تعليم النساء الكتابة';
"قديش عدد صفحات "" الأربعون حديثاً من أربعين كتاباُ عن أربعين شيخاً""؟",SELECT Pages FROM books WHERE Title = 'الأربعون حديثاً من أربعين كتاباُ عن أربعين شيخاً';
"بتعرف عدد صفحات كتاب "" الأزمة اللبنانية""؟",SELECT Pages FROM books WHERE Title = 'الأزمة اللبنانية';
مين كاتب هذه تونس؟,SELECT Author FROM books WHERE Title = 'هذه تونس';
شو نوع كتاب يوميات سعودي في العراق؟,SELECT Category FROM books WHERE Title = 'يوميات سعودي في العراق';
"بتعرف عدد صفحات كتاب "" المنشقون تنقيب عن مفهوم الخوارج بين التاريخ و الواقع""؟",SELECT Pages FROM books WHERE Title = 'المنشقون تنقيب عن مفهوم الخوارج بين التاريخ و الواقع';
"بتعرف مين كتب "" مهارات الإدارة المالية الشخصية""؟",SELECT Author FROM books WHERE Title = 'مهارات الإدارة المالية الشخصية';
"من هو مؤلف كتاب ""المكتبة الشاملة ودورها في التنشئة السياسية للطفل""؟",SELECT Author FROM books WHERE Title = 'المكتبة الشاملة ودورها في التنشئة السياسية للطفل';
"سعر "" إعلام المسلمين بحقوق سيد المرسلين (ص)"" قديش؟",SELECT Price FROM books WHERE Title = 'إعلام المسلمين بحقوق سيد المرسلين (ص)';
"في أي سنة تم نشر كتاب ""الجنس الثالث""؟",SELECT PublicationYear FROM books WHERE Title = 'الجنس الثالث';
الغلاف تبع مذكرات دبلوماسية عراقية من 1959 إلى 1991 كيف شكله؟,SELECT Cover FROM books WHERE Title = 'مذكرات دبلوماسية عراقية من 1959 إلى 1991';
"بتعرف عدد صفحات كتاب "" خواطر شاب - الجزء الأول""؟",SELECT Pages FROM books WHERE Title = 'خواطر شاب - الجزء الأول';
"مين اللي كاتب كتاب "" الولايات المتحدة الأمريكية وعلاقاتها الاقتصادية مع أقطار الخليج العربي""؟",SELECT Author FROM books WHERE Title = 'الولايات المتحدة الأمريكية وعلاقاتها الاقتصادية مع أقطار الخليج العربي';
"قديش ثمن "" إيجابيات الطاعون;ومسرحيات أخرى""؟",SELECT Price FROM books WHERE Title = 'إيجابيات الطاعون;ومسرحيات أخرى';
"مين الكاتب تبع "" السلسبيل المعين في الطرائق الأربعين""؟",SELECT Author FROM books WHERE Title = 'السلسبيل المعين في الطرائق الأربعين';
عن شو بيحكي كتاب دليل البقاء للنجاح المدرسي؟,SELECT Description FROM books WHERE Title = 'دليل البقاء للنجاح المدرسي';
شو نوع كتاب سيرة بطن؟,SELECT Category FROM books WHERE Title = 'سيرة بطن';
"بتعرف عدد صفحات كتاب "" التعددية الدينية في القرآن الكريم؛ مطارحات نقدية بين مدرستين""؟",SELECT Pages FROM books WHERE Title = 'التعددية الدينية في القرآن الكريم؛ مطارحات نقدية بين مدرستين';
"بتعرف عدد صفحات كتاب "" فنون الشطرنج""؟",SELECT Pages FROM books WHERE Title = 'فنون الشطرنج';
"بتعرف مين كتب "" مبادئ محاسبة المنشآت السياحية والفندقية""؟",SELECT Author FROM books WHERE Title = 'مبادئ محاسبة المنشآت السياحية والفندقية';
"بتعرف عدد صفحات كتاب ""مقدمة في علم الاستغراب""؟",SELECT Pages FROM books WHERE Title = 'مقدمة في علم الاستغراب';
مين كاتب فصول من تاريخ قبيلة حرب في الحجاز ونجد؟,SELECT Author FROM books WHERE Title = 'فصول من تاريخ قبيلة حرب في الحجاز ونجد';
"سعر "" مولود بين الدرافيل"" قديش؟",SELECT Price FROM books WHERE Title = 'مولود بين الدرافيل';
الكتاب تاريخ مصر فى العصور الوسطى شو موضوعه؟,SELECT Description FROM books WHERE Title = 'تاريخ مصر فى العصور الوسطى';
مين كاتب الصحة النفسية للطفل؟,SELECT Author FROM books WHERE Title = 'الصحة النفسية للطفل';
"قديش عدد صفحات "" العلاقات العامة والإنترنت""؟",SELECT Pages FROM books WHERE Title = 'العلاقات العامة والإنترنت';
"مين الكاتب تبع "" حقائق أنفاس العارفين الخواص وروضات رياض المنقطعين الخاص""؟",SELECT Author FROM books WHERE Title = 'حقائق أنفاس العارفين الخواص وروضات رياض المنقطعين الخاص';
الكتاب نحو كتلة تاريخية ديمقراطية في البلدان العربية شو موضوعه؟,SELECT Description FROM books WHERE Title = 'نحو كتلة تاريخية ديمقراطية في البلدان العربية';
"سعر "" كيف تحافظين على صحتك وجمال جسمك"" قديش؟",SELECT Price FROM books WHERE Title = 'كيف تحافظين على صحتك وجمال جسمك';
"قديش عدد صفحات "" بحوث في الفكر والعقيدة على ضوء العقل والنقل""؟",SELECT Pages FROM books WHERE Title = 'بحوث في الفكر والعقيدة على ضوء العقل والنقل';
تحت أي فئة فرعية بيجي كتاب أطلس التجارب الفيزيائية المبسطة - ملون؟,SELECT Subcategory FROM books WHERE Title = 'أطلس التجارب الفيزيائية المبسطة - ملون';
أيمتى نُشر كتاب الجماعات الضاغطة؟,SELECT PublicationYear FROM books WHERE Title = 'الجماعات الضاغطة';
"مين الكاتب تبع "" تعريف الحزب الشيوعي الصيني""؟",SELECT Author FROM books WHERE Title = 'تعريف الحزب الشيوعي الصيني';
"بتعرف عدد صفحات كتاب "" ألغاز عربية وفوازير شعبية""؟",SELECT Pages FROM books WHERE Title = 'ألغاز عربية وفوازير شعبية';
"قديش ثمن "" الجواهر الفخرية في شرح الروضة البهية""؟",SELECT Price FROM books WHERE Title = 'الجواهر الفخرية في شرح الروضة البهية';
"مين اللي كاتب كتاب "" كيف تصبح نجماً في التسويق""؟",SELECT Author FROM books WHERE Title = 'كيف تصبح نجماً في التسويق';
"بتعرف عدد صفحات كتاب "" اتجاهات وأساليب حديثة في التعلم والتعلم الحركي""؟",SELECT Pages FROM books WHERE Title = 'اتجاهات وأساليب حديثة في التعلم والتعلم الحركي';
شو الفئة الفرعية تبعت أين أدوات الاستفهام؟,SELECT Subcategory FROM books WHERE Title = 'أين أدوات الاستفهام';
"شو سعر كتاب "" فن المقال الصحفي""؟",SELECT Price FROM books WHERE Title = 'فن المقال الصحفي';
"بتعرف مين كتب "" كيف ننتفع بالقرآن الكريم""؟",SELECT Author FROM books WHERE Title = 'كيف ننتفع بالقرآن الكريم';
"مين اللي كاتب كتاب "" الهجرة الى الجنوب""؟",SELECT Author FROM books WHERE Title = 'الهجرة الى الجنوب';
"سعر "" السوسيولوجيا القروية بالمغرب"" قديش؟",SELECT Price FROM books WHERE Title = 'السوسيولوجيا القروية بالمغرب';
"شو سعر كتاب "" استخدامات الطاقة النووية للأغراض السلمية""؟",SELECT Price FROM books WHERE Title = 'استخدامات الطاقة النووية للأغراض السلمية';
"مين الكاتب تبع "" للحين أحبك""؟",SELECT Author FROM books WHERE Title = 'للحين أحبك';
"مين الكاتب تبع "" رجال منقبون نساء سافرات""؟",SELECT Author FROM books WHERE Title = 'رجال منقبون نساء سافرات';
شو أرخص كتب لـ  أكرم كرمول؟,SELECT * FROM books WHERE Author = 'أكرم كرمول' ORDER BY Price ASC
"بتعرف مين كتب "" تسويق الخدمات وتطبيقاته""؟",SELECT Author FROM books WHERE Title = 'تسويق الخدمات وتطبيقاته';
شو عنوان الكتاب والمؤلف للكتب التي نشرها دار شموع الثقافة؟,"SELECT Title, Author FROM books WHERE Publisher = 'دار شموع الثقافة';"
"من هو مؤلف كتاب ""Le ballon rouge""؟",SELECT Author FROM books WHERE Title = 'Le ballon rouge';
عن شو بيحكي كتاب الأصمعي ناقد الشعر؟,SELECT Description FROM books WHERE Title = 'الأصمعي ناقد الشعر';
الكتاب صناعة المخطوطات في نجد نزل في أي سنة؟,SELECT PublicationYear FROM books WHERE Title = 'صناعة المخطوطات في نجد';
"سعر "" مدخل إلى جيوديزيا الأقمار الصناعية"" قديش؟",SELECT Price FROM books WHERE Title = 'مدخل إلى جيوديزيا الأقمار الصناعية';
"مين اللي كاتب كتاب "" تفسير أحلام النساء ويليه كتاب أبراج النساء""؟",SELECT Author FROM books WHERE Title = 'تفسير أحلام النساء ويليه كتاب أبراج النساء';
"في أي سنة تم نشر كتاب ""تاريخ الجزائر الأطلس البليدي ومتيجة""؟",SELECT PublicationYear FROM books WHERE Title = 'تاريخ الجزائر الأطلس البليدي ومتيجة';
"قديش ثمن "" دليل سيرورات إنتاج البتروكيميائيات""؟",SELECT Price FROM books WHERE Title = 'دليل سيرورات إنتاج البتروكيميائيات';
"قديش ثمن "" الوسيط في فقه المواريث""؟",SELECT Price FROM books WHERE Title = 'الوسيط في فقه المواريث';
مين اللي نشر كتاب للبحث عن تاريخنا؟,SELECT Publisher FROM books WHERE Title = 'للبحث عن تاريخنا';
"قديش عدد صفحات "" بعض الدوال الخاصة وخصائصها""؟",SELECT Pages FROM books WHERE Title = 'بعض الدوال الخاصة وخصائصها';
"قديش ثمن "" من الحرب إلى سياسة الأحزاب""؟",SELECT Price FROM books WHERE Title = 'من الحرب إلى سياسة الأحزاب';
"مين اللي كاتب كتاب "" دليلك إلى الرقابة الداخلية والخارجية في المصارف""؟",SELECT Author FROM books WHERE Title = 'دليلك إلى الرقابة الداخلية والخارجية في المصارف';
مين ألّف كتاب فرفر و فيفي تحت الماء؟,SELECT Author FROM books WHERE Title = 'فرفر و فيفي تحت الماء';
"بتعرف مين كتب "" النظام العالمي ورياح التغيير""؟",SELECT Author FROM books WHERE Title = 'النظام العالمي ورياح التغيير';
قديش عدد صفحات النصوص الفنيقية في قره تيبه؟,SELECT Pages FROM books WHERE Title = 'النصوص الفنيقية في قره تيبه';
شو الفئة الفرعية تبعت الأم والطفل؟,SELECT Subcategory FROM books WHERE Title = 'الأم والطفل';
"مين اللي كاتب كتاب "" التشخيصية الجديدة في الفن المعاصر""؟",SELECT Author FROM books WHERE Title = 'التشخيصية الجديدة في الفن المعاصر';
"قديش ثمن "" الصورة الإشهارية آليات الإقناع والدلالة""؟",SELECT Price FROM books WHERE Title = 'الصورة الإشهارية آليات الإقناع والدلالة';
"شو سعر كتاب "" الزخارف والرسوم الإسلامية""؟",SELECT Price FROM books WHERE Title = 'الزخارف والرسوم الإسلامية';
"قديش عدد صفحات "" تعارف الحضارات""؟",SELECT Pages FROM books WHERE Title = 'تعارف الحضارات';
"من هو الناشر لكتاب ""كرمني 1/4""؟",SELECT Publisher FROM books WHERE Title = 'كرمني 1/4';
"قديش ثمن "" أنا أختنق وطوكيو لاتنام""؟",SELECT Price FROM books WHERE Title = 'أنا أختنق وطوكيو لاتنام';
ما الكتُب التي كتبها نعيم قاسم وعدد صفحاتها؟,"SELECT Title, Pages FROM books WHERE Author = 'نعيم قاسم';"
شو الكتب التي كتبها فاطمةxa0الزهراء خبازي وعدد صفحاتها؟,"SELECT Title, Pages FROM books WHERE Author = 'فاطمةxa0الزهراء خبازي';"
"مين الكاتب تبع "" Introduction to analytical statistics""؟",SELECT Author FROM books WHERE Title = 'Introduction to analytical statistics';
من هو المؤلف وكم عدد صفحات كتاب ' الأدب العربي الحديث'؟,"SELECT Author, Pages FROM books WHERE Title = 'الأدب العربي الحديث';"
"قديش ثمن "" تحقيق استقرارية وسائل اتصال الشبكة الخاصة المتنقلة في الزمن الحقيقي""؟",SELECT Price FROM books WHERE Title = 'تحقيق استقرارية وسائل اتصال الشبكة الخاصة المتنقلة في الزمن الحقيقي';
"مين اللي كاتب كتاب "" القصص القرآني""؟",SELECT Author FROM books WHERE Title = 'القصص القرآني';
الكتاب مرآة الأيام في ملخص التاريخ العام شو موضوعه؟,SELECT Description FROM books WHERE Title = 'مرآة الأيام في ملخص التاريخ العام';
"قديش عدد صفحات "" موسوعة الاحزاب اللبنانية""؟",SELECT Pages FROM books WHERE Title = 'موسوعة الاحزاب اللبنانية';
مين اللي نشر كتاب رجال أحبّهم الرسول؟,SELECT Publisher FROM books WHERE Title = 'رجال أحبّهم الرسول';
"شو سعر كتاب "" الدعاية الصهيونية في الرواية الأمريكية""؟",SELECT Price FROM books WHERE Title = 'الدعاية الصهيونية في الرواية الأمريكية';
"مين الكاتب تبع "" طيف الجزيئات ثنائية الذرة""؟",SELECT Author FROM books WHERE Title = 'طيف الجزيئات ثنائية الذرة';
"ما نوع غلاف كتاب ""بطل الحاسوب""؟",SELECT Cover FROM books WHERE Title = 'بطل الحاسوب';
"شو سعر كتاب "" التوريق كأداة مالية حديثة""؟",SELECT Price FROM books WHERE Title = 'التوريق كأداة مالية حديثة';
"بتعرف عدد صفحات كتاب "" الفوائد في الصلات والعوائد""؟",SELECT Pages FROM books WHERE Title = 'الفوائد في الصلات والعوائد';
"قديش عدد صفحات "" الأحكام الشرعية المتعلقة باختيار جنس الجنين والمولود""؟",SELECT Pages FROM books WHERE Title = 'الأحكام الشرعية المتعلقة باختيار جنس الجنين والمولود';
"مين اللي كاتب كتاب "" الرياضة لكل أفراد الأسرة""؟",SELECT Author FROM books WHERE Title = 'الرياضة لكل أفراد الأسرة';
"شو سعر كتاب "" Reflections On The Biography Of Prophet Muhammad Peace Be Upon Him""؟",SELECT Price FROM books WHERE Title = 'Reflections On The Biography Of Prophet Muhammad Peace Be Upon Him';
"مين اللي كاتب كتاب "" الرياضيات المعاصرة للآباء""؟",SELECT Author FROM books WHERE Title = 'الرياضيات المعاصرة للآباء';
"بتعرف مين كتب "" حوليات، الحولية الأولى""؟","SELECT Author FROM books WHERE Title = 'حوليات، الحولية الأولى';"
ما اسم الناشر وسنة النشر لكتاب ' التحليل العددي للمهندسين'؟,"SELECT Publisher, PublicationYear FROM books WHERE Title = 'التحليل العددي للمهندسين';"
"سعر ""الترجمة : رؤية فلسفية"" قديش؟",SELECT Price FROM books WHERE Title = 'الترجمة : رؤية فلسفية';
"سعر "" السيرة النبوية للقرية العالمية"" قديش؟",SELECT Price FROM books WHERE Title = 'السيرة النبوية للقرية العالمية';
"كم يبلغ عدد صفحات كتاب ""دليل المعلم لإستخدام القصة عبر المنهج""؟",SELECT Pages FROM books WHERE Title = 'دليل المعلم لإستخدام القصة عبر المنهج';
ما عنوان الكتاب والمؤلف للكتب التي نشرها دار التقدم؟,"SELECT Title, Author FROM books WHERE Publisher = 'دار التقدم';"
"قديش ثمن "" سنة الرسول شقيقة القرآن""؟",SELECT Price FROM books WHERE Title = 'سنة الرسول شقيقة القرآن';
"مين الكاتب تبع "" نظرية الحكم ومصادر التشريع في أصول الفقه الإسلامي""؟",SELECT Author FROM books WHERE Title = 'نظرية الحكم ومصادر التشريع في أصول الفقه الإسلامي';
"شو سعر كتاب ""التربية بين الوراثة والبيئة 'مدخل إلى فلسفة التربية""؟",SELECT Price FROM books WHERE Title = 'التربية بين الوراثة والبيئة'مدخل إلى فلسفة التربية';
مين ألّف كتاب تعزيز الرقابة الذاتية للأطفال في عصر الأجهزة الذكية؟,SELECT Author FROM books WHERE Title = 'تعزيز الرقابة الذاتية للأطفال في عصر الأجهزة الذكية';
بدي كتاب في تصنيف الأسرة والطفل وسعره أقل من 15,SELECT * FROM books WHERE Category = 'الأسرة والطفل' AND Price < 15
أيمتى نُشر كتاب الأطلس العربي المصور؟,SELECT PublicationYear FROM books WHERE Title = 'الأطلس العربي المصور';
"قديش ثمن "" تعليم الخط العربي""؟",SELECT Price FROM books WHERE Title = 'تعليم الخط العربي';
"قديش ثمن "" مدخل إلى المنطق الرياضي والمجموعات""؟",SELECT Price FROM books WHERE Title = 'مدخل إلى المنطق الرياضي والمجموعات';
"سعر "" مديح الهرب"" قديش؟",SELECT Price FROM books WHERE Title = 'مديح الهرب';
مين كاتب دليل الأماكن المقدسة في سوريا؟,SELECT Author FROM books WHERE Title = 'دليل الأماكن المقدسة في سوريا';
شو نوع كتاب عبقـريـة الإمـام عـلـى؟,SELECT Category FROM books WHERE Title = 'عبقـريـة الإمـام عـلـى';
"قديش ثمن "" مكانة السنة في التشريع الإسلامي وأثرها على الأحكام""؟",SELECT Price FROM books WHERE Title = 'مكانة السنة في التشريع الإسلامي وأثرها على الأحكام';
"بتعرف مين كتب "" اقتصاديات المياه في الوطن العربي والعالم""؟",SELECT Author FROM books WHERE Title = 'اقتصاديات المياه في الوطن العربي والعالم';
في كتب لـ  ستيوارت سميث بعد سنة 2015؟,SELECT * FROM books WHERE Author = 'ستيوارت سميث' AND PublicationYear > 2015
"قديش ثمن "" النظام العربي والعولمة""؟",SELECT Price FROM books WHERE Title = 'النظام العربي والعولمة';
التصنيف تبع كتاب سورية السياحية شو؟,SELECT Category FROM books WHERE Title = 'سورية السياحية';
"قديش ثمن "" مشاركة الأفراد في مضامين وسائل الإعلام الجديدة""؟",SELECT Price FROM books WHERE Title = 'مشاركة الأفراد في مضامين وسائل الإعلام الجديدة';
"بتعرف مين كتب "" سقوط الدولة البوليسية في تونس""؟",SELECT Author FROM books WHERE Title = 'سقوط الدولة البوليسية في تونس';
شو عنوان الكتاب والمؤلف للكتب التي نشرها دار الكتاب العربي للطباعة والنشر والتوزيع / مصر؟,"SELECT Title, Author FROM books WHERE Publisher = 'دار الكتاب العربي للطباعة والنشر والتوزيع / مصر';"
الغلاف تبع شرفة على التراث العماني كيف شكله؟,SELECT Cover FROM books WHERE Title = 'شرفة على التراث العماني';
"مين الكاتب تبع "" في هوية الكتابة الأدبية ..قراءة في ذاكرة الكاتبات العربيات""؟",SELECT Author FROM books WHERE Title = 'في هوية الكتابة الأدبية ..قراءة في ذاكرة الكاتبات العربيات';
"بتعرف عدد صفحات كتاب "" تراثنا - العددان الثالث والرابع""؟",SELECT Pages FROM books WHERE Title = 'تراثنا - العددان الثالث والرابع';
"بتعرف عدد صفحات كتاب "" بصمات على الهواء""؟",SELECT Pages FROM books WHERE Title = 'بصمات على الهواء';
مين اللي نشر كتاب كيف تكون طبيباً متميزاً؟,SELECT Publisher FROM books WHERE Title = 'كيف تكون طبيباً متميزاً';
"بتعرف عدد صفحات كتاب "" ""خاتمي يخاطب لبنان هنا أرض الحرية والحوار""""؟","SELECT Pages FROM books WHERE Title = '""خاتمي يخاطب لبنان هنا أرض الحرية والحوار""';"
بدي اعرف شو صدر من كتب سنة 2013.,SELECT Title FROM books WHERE `PublicationYear` = 2013;
"بتعرف مين كتب "" تأثير عمليات المقاومة الإسلامية""؟",SELECT Author FROM books WHERE Title = 'تأثير عمليات المقاومة الإسلامية';
"مين اللي كاتب كتاب "" أثر تطبيق الادارة البيئية في اطار ادارة سلسلة الامداد على الاداء""؟",SELECT Author FROM books WHERE Title = 'أثر تطبيق الادارة البيئية في اطار ادارة سلسلة الامداد على الاداء';
عن شو بيحكي كتاب للحيوانات بيوت؟,SELECT Description FROM books WHERE Title = 'للحيوانات بيوت';
"قديش عدد صفحات "" الطريق إلى حرب الخليج""؟",SELECT Pages FROM books WHERE Title = 'الطريق إلى حرب الخليج';
"مين اللي كاتب كتاب "" التعصب والاتصالات السياسية الرقمية""؟",SELECT Author FROM books WHERE Title = 'التعصب والاتصالات السياسية الرقمية';
شو الفئة الفرعية تبعت قواعد التعامل مع المراهقين؟,SELECT Subcategory FROM books WHERE Title = 'قواعد التعامل مع المراهقين';
شو نوع كتاب رحلة من نابلس الى اسلامبول؟,SELECT Category FROM books WHERE Title = 'رحلة من نابلس الى اسلامبول';
مين كاتب The Flowers؟,SELECT Author FROM books WHERE Title = 'The Flowers';
"بتعرف مين كتب "" السوق العربية المشتركة - العدد 30""؟",SELECT Author FROM books WHERE Title = 'السوق العربية المشتركة - العدد 30';
"بتعرف مين كتب "" بحوث في مقررات لجنة بازل الجديدة وأبعادها بالنسبة للصناعة المصرفية العربية""؟",SELECT Author FROM books WHERE Title = 'بحوث في مقررات لجنة بازل الجديدة وأبعادها بالنسبة للصناعة المصرفية العربية';
"قديش ثمن "" الثقافة النفسية المتخصصة - العدد السادس والعشرون""؟",SELECT Price FROM books WHERE Title = 'الثقافة النفسية المتخصصة - العدد السادس والعشرون';
بكم سعر كتاب حمدان والقطار الفضائي؟,SELECT Price FROM books WHERE Title = 'حمدان والقطار الفضائي';
"مين اللي كاتب كتاب "" روح الخط العربي""؟",SELECT Author FROM books WHERE Title = 'روح الخط العربي';
"قديش ثمن "" المنثور""؟",SELECT Price FROM books WHERE Title = 'المنثور';
غلاف الكتاب المدن الفينيقية ورقي ولا صلب؟,SELECT Cover FROM books WHERE Title = 'المدن الفينيقية';
"شو سعر كتاب "" - المدخل الإداري والمعلوماتي - نظم ومتطلبات وتطبيقات""؟",SELECT Price FROM books WHERE Title = '- المدخل الإداري والمعلوماتي - نظم ومتطلبات وتطبيقات';
"مين الكاتب تبع ""النص والسلطة والحقيقة : إرادة المعرفة وإرادة الهيمنة""؟",SELECT Author FROM books WHERE Title = 'النص والسلطة والحقيقة : إرادة المعرفة وإرادة الهيمنة';
بكم سعر كتاب الذاكرة المنسية؟,SELECT Price FROM books WHERE Title = 'الذاكرة المنسية';
فيه كتب من نشر  بيسان للنشر والتوزيع؟,SELECT Title FROM books WHERE Publisher = 'بيسان للنشر والتوزيع';
"قديش ثمن "" تهذيب التهذيب في رجال الحديث 1-7 لونان""؟",SELECT Price FROM books WHERE Title = 'تهذيب التهذيب في رجال الحديث 1-7 لونان';
"بتعرف عدد صفحات كتاب "" أسرار الأبراج 2007""؟",SELECT Pages FROM books WHERE Title = 'أسرار الأبراج 2007';
"مين اللي كاتب كتاب "" عالم واحد للجميع""؟",SELECT Author FROM books WHERE Title = 'عالم واحد للجميع';
"مين اللي كاتب كتاب "" الكاراتيه … فن وقوة ومهارات""؟",SELECT Author FROM books WHERE Title = 'الكاراتيه … فن وقوة ومهارات';
"مين اللي كاتب كتاب "" هندسة السطوح المعدنية""؟",SELECT Author FROM books WHERE Title = 'هندسة السطوح المعدنية';
"سعر "" العلم النانوي ودوره في حياتنا"" قديش؟",SELECT Price FROM books WHERE Title = 'العلم النانوي ودوره في حياتنا';
"قديش عدد صفحات "" انهيار برج بابل""؟",SELECT Pages FROM books WHERE Title = 'انهيار برج بابل';
"قديش ثمن "" رسائل إلى رجال الثلج""؟",SELECT Price FROM books WHERE Title = 'رسائل إلى رجال الثلج';
الكتاب أشراف مكة المكرمة وأمراؤها في العهد العثماني نزل في أي سنة؟,SELECT PublicationYear FROM books WHERE Title = 'أشراف مكة المكرمة وأمراؤها في العهد العثماني';
"بتعرف مين كتب "" سياسة الكتل في آسيا""؟",SELECT Author FROM books WHERE Title = 'سياسة الكتل في آسيا';
ما اسم الناشر وسنة النشر لكتاب 'حياة العقل الجزء الأول : التفكير'؟,"SELECT Publisher, PublicationYear FROM books WHERE Title = 'حياة العقل الجزء الأول : التفكير';"
"مين اللي كاتب كتاب "" هنري الخامس""؟",SELECT Author FROM books WHERE Title = 'هنري الخامس';
"شو سعر كتاب "" الخبر الإذاعي؛ فنونه وخصائصه في الراديو والتليفزيون""؟",SELECT Price FROM books WHERE Title = 'الخبر الإذاعي؛ فنونه وخصائصه في الراديو والتليفزيون';
"قديش عدد صفحات "" نهوض أفريقيا""؟",SELECT Pages FROM books WHERE Title = 'نهوض أفريقيا';
"مين اللي كاتب كتاب "" الرأسمالية في عصر العولمة؛ إدارة المجتمع المعاصر""؟",SELECT Author FROM books WHERE Title = 'الرأسمالية في عصر العولمة؛ إدارة المجتمع المعاصر';
الكتاب رسوم نهارية ومسافر نائم نزل في أي سنة؟,SELECT PublicationYear FROM books WHERE Title = 'رسوم نهارية ومسافر نائم';
من هو المؤلف وكم عدد صفحات كتاب ' أوجين أونيل'؟,"SELECT Author, Pages FROM books WHERE Title = 'أوجين أونيل';"
"من هو الناشر لكتاب ""La Baleine et le matelot""؟",SELECT Publisher FROM books WHERE Title = 'La Baleine et le matelot';
ما عنوان الكتاب والمؤلف للكتب التي نشرها ديناميك غرافيك للطباعة والنشر؟,"SELECT Title, Author FROM books WHERE Publisher = 'ديناميك غرافيك للطباعة والنشر';"
"من هو مؤلف كتاب ""The Donkey and the car""؟",SELECT Author FROM books WHERE Title = 'The Donkey and the car';
الغلاف تبع أنا الأصفر كيف شكله؟,SELECT Cover FROM books WHERE Title = 'أنا الأصفر';
"سعر ""الفلسفة الوسيطية"" قديش؟",SELECT Price FROM books WHERE Title = 'الفلسفة الوسيطية';
"سعر "" التحولات الاقتصادية العربية والألفية الثالثة"" قديش؟",SELECT Price FROM books WHERE Title = 'التحولات الاقتصادية العربية والألفية الثالثة';
"سعر "" منافع الأعشاب والخضار وفوائدها الطبية"" قديش؟",SELECT Price FROM books WHERE Title = 'منافع الأعشاب والخضار وفوائدها الطبية';
"شو سعر كتاب "" أخطاء صاحبة الجلالة""؟",SELECT Price FROM books WHERE Title = 'أخطاء صاحبة الجلالة';
"مين الكاتب تبع "" من هو عدونا في إيران""؟",SELECT Author FROM books WHERE Title = 'من هو عدونا في إيران';
"سعر "" الجزائر؛ الخطوات نحو التغيير أم وعود جوفاء؟"" قديش؟",SELECT Price FROM books WHERE Title = 'الجزائر؛ الخطوات نحو التغيير أم وعود جوفاء؟';
"شو سعر كتاب "" الإستدلال الإحصائي وتطبيقاته في الإقتصاد والإدارة""؟",SELECT Price FROM books WHERE Title = 'الإستدلال الإحصائي وتطبيقاته في الإقتصاد والإدارة';
قديش حق آدم يحب الرسم؟,SELECT Price FROM books WHERE Title = 'آدم يحب الرسم';
"قديش ثمن "" رجال الله""؟",SELECT Price FROM books WHERE Title = 'رجال الله';
"بتعرف عدد صفحات كتاب "" اللحن في قراءة القرآن الكريم""؟",SELECT Pages FROM books WHERE Title = 'اللحن في قراءة القرآن الكريم';
"قديش ثمن "" الحق المر""؟",SELECT Price FROM books WHERE Title = 'الحق المر';
مين اللي نشر كتاب مقالة في الإسلام؟,SELECT Publisher FROM books WHERE Title = 'مقالة في الإسلام';
"ما هو سعر كتاب ""أنظمة البادية وحقوقها""؟",SELECT Price FROM books WHERE Title = 'أنظمة البادية وحقوقها';
"مين اللي كاتب كتاب "" مَنْ قتل الإبداع؟""؟",SELECT Author FROM books WHERE Title = 'مَنْ قتل الإبداع؟';
"بتعرف عدد صفحات كتاب "" بين حقبتين من مناهضة الاستبداد إلى مقاومة الاحتلال""؟",SELECT Pages FROM books WHERE Title = 'بين حقبتين من مناهضة الاستبداد إلى مقاومة الاحتلال';
"مين اللي كاتب كتاب "" المحاسبة الإدارية لترشيد القرارات التخطيطية""؟",SELECT Author FROM books WHERE Title = 'المحاسبة الإدارية لترشيد القرارات التخطيطية';
"بتعرف مين كتب "" الكلمات المتقاطعة - المرحلة الأولى""؟",SELECT Author FROM books WHERE Title = 'الكلمات المتقاطعة - المرحلة الأولى';
مين هو المؤلف وكم عدد صفحات كتاب ' تقييم الشركات'؟,"SELECT Author, Pages FROM books WHERE Title = 'تقييم الشركات';"
"بتعرف مين كتب "" موسوعة قصص الأنبياء""؟",SELECT Author FROM books WHERE Title = 'موسوعة قصص الأنبياء';
بكم سعر كتاب تاريخ الزمان؟,SELECT Price FROM books WHERE Title = 'تاريخ الزمان';
